SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018101809323075,55.275116,34.202705,404.5957,93.43362,0.004215634079461679,0.04727167528223101,0.0034724832010145125,0.021963138681788487,0.005341641444761349,0.026384456787752888
SND2018101809323076,55.281445,34.19444,403.78717,93.478874,0.004672054139520435,0.05012789673532517,0.003879920911923615,0.023323698223030594,0.007477392706230014,0.028423234476696972
SND2018101809323077,55.28768,34.18613,404.1571,93.18412,0.0048217040560555756,0.05103801536520895,0.004014214673644174,0.023757637450160192,0.008289947462075937,0.02907955351084498
SND2018101809323078,55.293827,34.177773,402.92667,92.99667,0.004802724502255406,0.050923266620049513,0.003997164174649399,0.02370291540048448,0.008183655848243654,0.02899662954778172
SND2018101809323101,55.24322,34.25543,403.32663,93.65049,0.004695597837020765,0.05027190208088726,0.0039010263862158134,0.02339234635678005,0.007601388255043199,0.028526870217100406
SND2018101809323102,55.2499,34.247322,403.6007,93.56557,0.003821121288273171,0.0446939159473251,0.0031231054266970667,0.020736950700773766,0.0038730615707321804,0.02457260982041313
SND2018101809323103,55.256527,34.23914,403.81403,93.73325,0.004019958628951845,0.04600670929200901,0.0032988545605054514,0.02136120941079772,0.004572330788379843,0.025491931011089135
SND2018101809323104,55.263073,34.230904,402.98187,93.73873,0.00433128177425999,0.04800744924732864,0.003575403483522158,0.022313436282872058,0.005836218409937648,0.02690657028919292
SND2018101809323105,55.269478,34.22271,403.84787,93.89759,0.004356940487603826,0.0481695470943039,0.003598268109790964,0.02239062786432544,0.005950105603267878,0.02702188725931739
SND2018101809323106,55.27581,34.214447,404.46375,93.660065,0.004084169120330821,0.04642466135125782,0.0033557581779958203,0.021560045979486728,0.004815656977522633,0.0257861062421886
